"Data rozpoczęcia [UTC]", "Czas rozpoczęcia [UTC]", "Długość", "Astronauci", "Czynności"
"1971-02-05", "14:42:13", "4h 48m", "Edgar Mitchell, Alan Shepard", "Eksperymenty naukowe"
"1971-02-06", "08:11:15", "4h 35m", "Edgar Mitchell, Alan Shepard", "Eksperymenty naukowe"
