"Załoga", "Rola", "Imię i Nazwisko"
"Główna", "Dowódca załogi", "Neil A. Armstrong"
"Główna", "Pilot Modułu Księżycowego", "Edwin E. 'Buzz' Aldrin, Jr."
"Główna", "Pilot Modułu Zarządzania", "Michael Collins"
"Zapasowa", "Dowódca załogi", "James A. Lovell Jr."
"Zapasowa", "Pilot Modułu Księżycowego", "William A. Anders"
"Zapasowa", "Pilot Modułu Zarządzania", "Fred W. Haise Jr."
