"Data rozpoczęcia [UTC]", "Czas rozpoczęcia [UTC]", "Długość", "Astronauci", "Czynności"
"1972-04-21", "16:47:28", "7h 11m", "Charles Duke, John Young", "Eksperymenty naukowe"
"1972-04-22", "16:33:35", "7h 23m", "Charles Duke, John Young", "Eksperymenty naukowe"
"1972-04-23", "15:25:28", "5h 40m", "Charles Duke, John Young", "Eksperymenty naukowe"
"1972-04-23", "", "0h 4m", "Charles Duke, John Young", "Zrzut ekwipunku"
