"Załoga", "Rola", "Imię i Nazwisko"
"Główna", "Dowódca załogi", "John W. Young"
"Główna", "Pilot Modułu Księżycowego", "Charles M. Duke Jr."
"Główna", "Pilot Modułu Zarządzania", "Thomas K. Mattingly II"
"Zapasowa", "Dowódca załogi", "Fred W. Haise Jr."
"Zapasowa", "Pilot Modułu Księżycowego", "Stuart A. Roosa"
"Zapasowa", "Pilot Modułu Zarządzania", "Edgar D. Mitchell"
