"Data rozpoczęcia [UTC]", "Czas rozpoczęcia [UTC]", "Długość", "Astronauci", "Czynności"
"1969-07-21", "02:39:33", "2h 32m", "Edwin Aldrin, Neil Armstrong", "Eksperymenty naukowe"
"1969-07-21", "", "0h 5m", "Edwin Aldrin, Neil Armstrong", "Zrzut ekwipunku"
