"Data rozpoczęcia [UTC]", "Czas rozpoczęcia [UTC]", "Długość", "Astronauci", "Czynności"
"1972-12-11", "23:54:49", "7h 12m", "Eugene Cernan, Harrison Schmitt", "Eksperymenty naukowe"
"1972-12-12", "23:28:06", "7h 37m", "Eugene Cernan, Harrison Schmitt", "Eksperymenty naukowe"
"1972-12-13", "22:25:48", "7h 15m", "Eugene Cernan, Harrison Schmitt", "Eksperymenty naukowe"
