"Załoga", "Rola", "Imię i Nazwisko"
"Główna", "Dowódca załogi", "David R. Scott"
"Główna", "Pilot Modułu Księżycowego", "Alfred M. Worden"
"Główna", "Pilot Modułu Zarządzania", "James B. Irwin"
"Zapasowa", "Dowódca załogi", "Richard F. Gordon Jr."
"Zapasowa", "Pilot Modułu Księżycowego", "Vance D. Brand"
"Zapasowa", "Pilot Modułu Zarządzania", "Harrison H. Schmitt"
