"Załoga", "Rola", "Imię i Nazwisko"
"Główna", "Dowódca załogi", "Alan B. Shepard Jr."
"Główna", "Pilot Modułu Księżycowego", "Stuart A. Roosa"
"Główna", "Pilot Modułu Zarządzania", "Edgar D. Mitchell"
"Zapasowa", "Dowódca załogi", "Eugene A. Cernan"
"Zapasowa", "Pilot Modułu Księżycowego", "Ronald E. Evans Jr."
"Zapasowa", "Pilot Modułu Zarządzania", "Joe H. Engle"
