"Data rozpoczęcia [UTC]", "Czas rozpoczęcia [UTC]", "Długość", "Astronauci", "Czynności"
"1971-07-31", "", "0h 33m", "David Scott", "Zdjęcie panoramiczne"
"1971-07-31", "13:13:17", "6h 33m", "James Irwin, David Scott", "Eksperymenty naukowe"
"1971-08-01", "11:48:48", "7h 12m", "James Irwin, David Scott", "Eksperymenty naukowe"
"1971-08-02", "08:52:14", "4h 50m", "James Irwin, David Scott", "Eksperymenty naukowe"
"1971-08-02", "", "0h 12m", "James Irwin, David Scott", "Zrzut ekwipunku"
